Date,Current Temp,Description,High Temp,Low Temp,Humidity,Feels Like,Location,AQI
2025-03-03 10:00:38.343304,1°,Облачно,2°,-8°,79%,-4°,"Алматы, Казахстан",152
2025-03-03 11:00:38.257040,1°,Облачно,1°,-8°,80%,-4°,"Алматы, Казахстан",141
2025-03-03 12:00:38.211792,1°,Облачно,1°,-8°,84%,-2°,"Алматы, Казахстан",130
2025-03-03 13:00:38.263053,1°,Облачно,2°,-8°,76%,-6°,"Алматы, Казахстан",120
2025-03-03 14:00:38.243065,0°,Облачно,1°,-8°,73%,-5°,"Алматы, Казахстан",101
2025-03-03 15:00:38.323748,-1°,Небольшой снегопад,-1°,-8°,78%,-1°,"Алматы, Казахстан",86
2025-03-03 16:00:38.266541,-1°,Облачно,1°,-8°,69%,-7°,"Алматы, Казахстан",76
2025-03-03 17:00:38.213083,-2°,Облачно,1°,-9°,73%,-8°,"Алматы, Казахстан",70
2025-03-03 18:00:38.938302,-3°,Небольшой снегопад,1°,-9°,84%,-3°,"Алматы, Казахстан",64
2025-03-03 19:00:39.657466,-3°,Легкий туман,1°,-9°,81%,-8°,"Алматы, Казахстан",60
2025-03-03 20:00:38.319269,-3°,Легкий туман,1°,-9°,79%,-9°,"Алматы, Казахстан",60
2025-03-03 21:00:38.244851,-4°,Небольшой снегопад,1°,-9°,81%,-4°,"Алматы, Казахстан",59
2025-03-03 22:00:39.044647,-4°,Облачно,1°,-9°,83%,-4°,"Алматы, Казахстан",60
2025-03-03 23:00:38.219798,-5°,Облачно,1°,-9°,84%,-8°,"Алматы, Казахстан",61
2025-03-04 00:00:39.720539,-5°,Небольшой снегопад,1°,-9°,87%,-8°,"Алматы, Казахстан",66
2025-03-04 01:00:39.070080,-6°,Облачно,1°,-9°,85%,-12°,"Алматы, Казахстан",72
2025-03-04 02:00:38.177712,-6°,Облачно,1°,-9°,84%,-12°,"Алматы, Казахстан",70
2025-03-04 03:00:39.045665,-6°,Облачно,1°,-9°,82%,-6°,"Алматы, Казахстан",81
2025-03-04 04:00:39.143118,-8°,Легкий туман,-1°,-9°,87%,-13°,"Алматы, Казахстан",82
2025-03-04 05:00:38.337247,-8°,Легкий туман,0°,-9°,84%,-12°,"Алматы, Казахстан",82
2025-03-04 06:00:38.994504,-7°,Переменная облачность,0°,-10°,84%,-7°,"Алматы, Казахстан",84
2025-03-04 07:00:38.369655,-9°,Легкий туман,1°,-10°,81%,-9°,"Алматы, Казахстан",88
2025-03-04 08:00:39.233908,-6°,Легкий туман,0°,-10°,73%,-10°,"Алматы, Казахстан",85
2025-03-04 09:00:42.929006,-3°,Ясно,1°,-9°,74%,-3°,"Алматы, Казахстан",89
2025-03-04 10:00:38.340710,-2°,Ясно,0°,-10°,61%,-2°,"Алматы, Казахстан",91
2025-03-04 11:00:38.349853,-1°,Переменная облачность,0°,-9°,53%,-4°,"Алматы, Казахстан",93
2025-03-04 12:00:38.352509,1°,Значительная облачность,2°,-9°,47%,1°,"Алматы, Казахстан",92
2025-03-04 13:00:38.352509,0°,Переменная облачность,0°,-9°,49%,-4°,"Алматы, Казахстан",93
2025-03-04 14:00:38.352509,0°,Переменная облачность,0°,-10°,47%,-4°,"Алматы, Казахстан",88
2025-03-04 15:00:38.352509,1°,Облачно,1°,-10°,44%,1°,"Алматы, Казахстан",86
2025-03-04 16:00:38.352509,-1°,Значительная облачность,1°,-10°,52%,-4°,"Алматы, Казахстан",90
2025-03-04 17:00:38.349853,-2°,Значительная облачность,1°,-10°,54%,-5°,"Алматы, Казахстан",87
2025-03-04 18:00:38.352509,-2°,Облачно,1°,-10°,57%,-2°,"Алматы, Казахстан",80
2025-03-04 19:00:38.352509,-5°,Переменная облачность,1°,-10°,70%,-11°,"Алматы, Казахстан",75
2025-03-04 20:00:38.352509,-6°,Переменная облачность,1°,-10°,71%,-9°,"Алматы, Казахстан",75
2025-03-04 21:00:38.352509,-4°,Значительная облачность,1°,-10°,69%,-4°,"Алматы, Казахстан",76
2025-03-04 22:00:38.352509,-7°,Ясно,1°,-10°,68%,-11°,"Алматы, Казахстан",76
2025-03-04 23:00:38.352509,-7°,Дым,1°,-10°,72%,-11°,"Алматы, Казахстан",79
2025-03-05 00:00:38.352509,-5°,Ясно,1°,-10°,66%,-5°,"Алматы, Казахстан",83
2025-03-05 01:00:38.352509,-8°,Ясно,1°,-10°,74%,-12°,"Алматы, Казахстан",94
2025-03-05 02:00:38.352509,-8°,Ясно,1°,-10°,73%,-8°,"Алматы, Казахстан",93
2025-03-05 03:00:38.352509,-7°,Ясно,1°,-10°,73%,-7°,"Алматы, Казахстан",103
2025-03-05 04:00:38.352509,-9°,Ясно,2°,-4°,77%,-9°,"Алматы, Казахстан",94
2025-03-05 05:00:38.352509,-9°,Легкий туман,2°,-4°,77%,-13°,"Алматы, Казахстан",98
2025-03-05 06:00:01.517912,-6°,Ясно,2°,-4°,72%,-6°,"Алматы, Казахстан",108
2025-03-05 07:00:01.502888,-8°,Легкий туман,3°,-4°,71%,-8°,"Алматы, Казахстан",110
2025-03-05 08:00:03.140893,-5°,Легкий туман,3°,-4°,67%,-5°,"Алматы, Казахстан",110
2025-03-05 09:00:02.854509,-2°,Облачно,3°,-4°,59%,-2°,"Алматы, Казахстан",113
2025-03-05 10:00:04.226324,-2°,Дым,2°,-4°,62%,-6°,"Алматы, Казахстан",114
2025-03-05 11:00:01.662985,0°,Дым,2°,-4°,57%,-3°,"Алматы, Казахстан",115
2025-03-05 12:00:01.634135,2°,Значительная облачность,3°,-4°,52%,2°,"Алматы, Казахстан",118
2025-03-05 13:00:02.801968,2°,Значительная облачность,3°,-4°,53%,-1°,"Алматы, Казахстан",116
2025-03-05 14:00:02.139121,2°,Значительная облачность,2°,-4°,53%,0°,"Алматы, Казахстан",115
2025-03-05 15:00:02.490451,3°,Значительная облачность,4°,-4°,49%,3°,"Алматы, Казахстан",113
2025-03-05 16:00:01.867891,3°,Значительная облачность,3°,-4°,51%,1°,"Алматы, Казахстан",111
2025-03-05 17:00:02.298566,2°,Значительная облачность,3°,-4°,57%,-2°,"Алматы, Казахстан",110
2025-03-05 18:00:01.701411,2°,Ясно,3°,-4°,56%,2°,"Алматы, Казахстан",109
2025-03-05 19:00:03.510312,-1°,Дым,3°,-4°,64%,-1°,"Алматы, Казахстан",110
2025-03-05 20:00:01.664030,-1°,Дым,3°,-4°,65%,-1°,"Алматы, Казахстан",114
2025-03-05 21:00:01.978231,1°,Ясно,3°,-4°,61%,1°,"Алматы, Казахстан",120
2025-03-05 22:00:02.476920,-1°,Дым,3°,-4°,68%,-1°,"Алматы, Казахстан",135
2025-03-05 23:00:02.165770,-1°,Легкий туман,3°,-4°,67%,-1°,"Алматы, Казахстан",134
2025-03-06 00:00:02.405385,0°,Облачно,3°,-4°,60%,0°,"Алматы, Казахстан",135
2025-03-06 01:00:02.678972,-2°,Легкий туман,3°,-4°,67%,-4°,"Алматы, Казахстан",137
2025-03-06 02:00:02.626009,-2°,Легкий туман,3°,-4°,69%,-5°,"Алматы, Казахстан",146
2025-03-06 03:00:03.274712,-2°,Переменная облачность,3°,-4°,62%,-2°,"Алматы, Казахстан",140
2025-03-06 04:00:01.985397,-4°,Легкий туман,8°,0°,75%,-7°,"Алматы, Казахстан",109
2025-03-06 05:00:01.584733,-4°,Легкий туман,8°,0°,74%,-7°,"Алматы, Казахстан",98
2025-03-06 06:00:02.226236,-1°,Ясно,8°,0°,53%,-1°,"Алматы, Казахстан",103
2025-03-06 07:00:02.064838,-3°,Ясно,9°,0°,64%,-6°,"Алматы, Казахстан",94
2025-03-06 15:00:01.378880,10°,Значительная облачность,10°,-1°,42%,10°,"Алматы, Казахстан",120
2025-03-06 16:00:01.964438,8°,Значительная облачность,9°,0°,50%,5°,"Алматы, Казахстан",115
2025-03-06 17:00:02.142583,7°,Значительная облачность,9°,0°,55%,4°,"Алматы, Казахстан",111
2025-03-06 18:00:01.735723,7°,Значительная облачность,9°,0°,47%,7°,"Алматы, Казахстан",109
2025-03-06 19:00:01.731881,4°,Дым,9°,0°,65%,4°,"Алматы, Казахстан",109
2025-03-06 20:00:01.479519,4°,Дым,9°,0°,64%,2°,"Алматы, Казахстан",114
2025-03-06 21:00:03.554159,7°,Значительная облачность,9°,0°,54%,7°,"Алматы, Казахстан",120
2025-03-06 22:00:01.601908,4°,Легкий туман,9°,0°,66%,4°,"Алматы, Казахстан",128
2025-03-06 23:00:02.965097,3°,Легкий туман,9°,0°,68%,3°,"Алматы, Казахстан",129
2025-03-07 00:00:01.734834,5°,Ясно,9°,0°,59%,5°,"Алматы, Казахстан",130
2025-03-07 01:00:01.448614,3°,Значительная облачность,9°,1°,66%,-1°,"Алматы, Казахстан",130
2025-03-07 02:00:02.598139,3°,Значительная облачность,9°,1°,63%,1°,"Алматы, Казахстан",106
2025-03-07 03:00:02.410871,4°,Значительная облачность,9°,1°,56%,4°,"Алматы, Казахстан",93
2025-03-07 04:00:03.998393,2°,Значительная облачность,5°,-2°,70%,2°,"Алматы, Казахстан",85
2025-03-07 05:00:02.660961,2°,Значительная облачность,5°,-1°,67%,-2°,"Алматы, Казахстан",91
2025-03-07 06:00:02.545234,3°,Переменная облачность,5°,-1°,54%,3°,"Алматы, Казахстан",85
2025-03-07 07:00:02.581415,1°,Значительная облачность,5°,-1°,72%,-3°,"Алматы, Казахстан",82
2025-03-07 08:00:02.354079,2°,Легкий туман,5°,-1°,73%,2°,"Алматы, Казахстан",84
2025-03-07 09:00:05.658591,4°,Значительная облачность,5°,-1°,67%,4°,"Алматы, Казахстан",90
2025-03-07 10:00:02.229029,4°,Облачно,5°,-1°,69%,0°,"Алматы, Казахстан",96
2025-03-07 11:00:03.005603,5°,Облачно,5°,-1°,67%,1°,"Алматы, Казахстан",99
2025-03-07 12:00:01.525699,5°,Облачно,6°,-1°,72%,3°,"Алматы, Казахстан",98
2025-03-07 13:00:02.303220,4°,Облачно,5°,-1°,69%,0°,"Алматы, Казахстан",96
2025-03-07 14:00:01.849021,3°,Облачно,4°,-1°,77%,0°,"Алматы, Казахстан",95
2025-03-07 15:00:03.468066,3°,Облачно,3°,-1°,86%,1°,"Алматы, Казахстан",86
2025-03-07 16:00:05.467902,3°,Небольшой ливневый дождь,5°,-1°,84%,1°,"Алматы, Казахстан",83
2025-03-07 17:00:03.837531,2°,Небольшой ливневый дождь,5°,-2°,87%,-1°,"Алматы, Казахстан",88
2025-03-07 18:00:01.953730,1°,Небольшой ливневый дождь,5°,-1°,99%,-2°,"Алматы, Казахстан",91
2025-03-07 19:00:03.739570,2°,Небольшой ливневый дождь,5°,-1°,90%,-3°,"Алматы, Казахстан",95
2025-03-07 20:00:01.834268,0°,Гром/снежно-ледяная изморось,5°,-1°,100%,-4°,"Алматы, Казахстан",93
2025-03-07 21:00:01.451876,1°,Туман,5°,-1°,91%,1°,"Алматы, Казахстан",105
2025-03-07 22:00:01.958527,2°,Облачно,5°,-1°,80%,-3°,"Алматы, Казахстан",102
2025-03-07 23:00:02.978946,2°,Небольшой ливневый дождь,5°,-1°,84%,-2°,"Алматы, Казахстан",84
2025-03-08 00:00:03.409148,1°,Небольшой снегопад,5°,-1°,96%,-2°,"Алматы, Казахстан",69
2025-03-08 01:00:02.241364,1°,Облачно,5°,-1°,87%,-3°,"Алматы, Казахстан",52
2025-03-08 10:00:02.009075,2°,Значительная облачность,5°,1°,71%,-2°,"Алматы, Казахстан",40
2025-03-08 11:00:02.256898,3°,Облачно,5°,1°,71%,-2°,"Алматы, Казахстан",43
2025-03-08 12:00:01.559046,3°,Облачно,5°,2°,72%,3°,"Алматы, Казахстан",50
2025-03-08 13:00:06.484072,4°,Облачно,5°,1°,67%,0°,"Алматы, Казахстан",55
2025-03-08 14:00:02.626451,5°,Облачно,5°,1°,65%,2°,"Алматы, Казахстан",61
2025-03-08 15:00:01.428194,6°,Облачно,7°,1°,66%,6°,"Алматы, Казахстан",68
2025-03-08 16:00:01.913761,6°,Значительная облачность,6°,1°,61%,3°,"Алматы, Казахстан",72
2025-03-08 17:00:02.522018,6°,Значительная облачность,6°,1°,63%,6°,"Алматы, Казахстан",70
2025-03-08 18:00:02.050649,7°,Значительная облачность,7°,2°,52%,7°,"Алматы, Казахстан",76
2025-03-08 19:00:02.571976,4°,Дым,7°,1°,70%,2°,"Алматы, Казахстан",70
2025-03-08 20:00:03.048962,3°,Дым,7°,1°,76%,1°,"Алматы, Казахстан",68
2025-03-08 21:00:02.837608,5°,Облачно,7°,1°,62%,5°,"Алматы, Казахстан",73
2025-03-08 22:00:02.337189,3°,Легкий туман,7°,1°,76%,1°,"Алматы, Казахстан",79
2025-03-08 23:00:02.667655,3°,Легкий туман,7°,1°,75%,0°,"Алматы, Казахстан",82
2025-03-09 00:00:02.318154,4°,Значительная облачность,7°,1°,68%,4°,"Алматы, Казахстан",87
2025-03-09 01:00:01.582766,3°,Значительная облачность,7°,0°,70%,1°,"Алматы, Казахстан",98
2025-03-09 02:00:01.450512,2°,Дым,7°,0°,73%,-1°,"Алматы, Казахстан",98
2025-03-09 03:00:02.480481,4°,Ясно,7°,0°,63%,4°,"Алматы, Казахстан",96
2025-03-09 04:00:16.400802,1°,Легкий туман,7°,-2°,77%,1°,"Алматы, Казахстан",84
2025-03-09 05:00:02.639194,2°,Легкий туман,7°,-2°,72%,-1°,"Алматы, Казахстан",81
2025-03-09 06:00:02.629137,4°,Переменная облачность,7°,-1°,63%,4°,"Алматы, Казахстан",79
2025-03-09 07:00:01.412116,2°,Легкий туман,8°,-1°,73%,2°,"Алматы, Казахстан",81
2025-03-09 08:00:02.195416,3°,Легкий туман,8°,-1°,70%,3°,"Алматы, Казахстан",74
2025-03-09 09:00:02.392509,8°,Облачно,8°,-1°,53%,8°,"Алматы, Казахстан",70
2025-03-09 10:00:03.176584,7°,Облачно,8°,-1°,60%,7°,"Алматы, Казахстан",67
2025-03-09 11:00:00.910902,7°,Легкий туман,8°,-1°,64%,4°,"Алматы, Казахстан",65
2025-03-09 12:00:09.846386,10°,Значительная облачность,11°,-1°,49%,9°,"Алматы, Казахстан",65
2025-03-09 13:00:01.807377,8°,Значительная облачность,9°,-1°,60%,6°,"Алматы, Казахстан",67
2025-03-09 14:00:02.901344,8°,Облачно,9°,-1°,63%,6°,"Алматы, Казахстан",72
2025-03-09 15:00:01.596755,9°,Облачно,10°,-1°,58%,9°,"Алматы, Казахстан",81
2025-03-09 16:00:00.841682,6°,Небольшой ливневый дождь/ветрено,10°,-1°,75%,1°,"Алматы, Казахстан",84
